Source_ID,Sym_Type,Var_Radius_mm,Var_Width_mm,Aux_Hex_Apothem,Width_Ratio,Path_0,Path_1,Path_2,Path_3,Path_4,Path_5,Path_6,Path_7,Path_8,Path_9,Path_10,Path_11,Path_12,Path_13,Path_14,Path_15,Path_16,Path_17,Path_18,Path_19,Path_20,Path_21,Path_22,Path_23,Path_24,Path_25,Path_26,Path_27,Path_28,Path_29,Path_30,Path_31,Path_32,Path_33,Path_34,Path_35,Path_36,Path_37,Path_38,Path_39,Path_40,Path_41,Path_42,Path_43,Path_44,Path_45,Path_46,Path_47,Path_48,Path_49,Path_50,Path_51,Path_52,Path_53,Path_54,Path_55,Path_56,Path_57,Path_58,Path_59,Path_60,Path_61
1.png,2,8,0.01,6.9282,0.001,-3.826036,3.826035,7.652071,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,8,0.3644,6.9282,0.046,-3.826036,3.826035,7.652071,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,8,0.7189,6.9282,0.09,-3.826036,3.826035,7.652071,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,8,1.0733,6.9282,0.134,-3.826036,3.826035,7.652071,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,8,1.4278,6.9282,0.178,-3.826036,3.826035,7.652071,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,8,1.7822,6.9282,0.223,-3.826036,3.826035,7.652071,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,8,2.1367,6.9282,0.267,-3.826036,3.826035,7.652071,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,8,2.4911,6.9282,0.311,-3.826036,3.826035,7.652071,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,8,2.8456,6.9282,0.356,-3.826036,3.826035,7.652071,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,8,3.2,6.9282,0.4,-3.826036,3.826035,7.652071,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,9,0.01,7.7942,0.001,-4.30429,4.30429,8.60858,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,9,0.4089,7.7942,0.045,-4.30429,4.30429,8.60858,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,9,0.8078,7.7942,0.09,-4.30429,4.30429,8.60858,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,9,1.2067,7.7942,0.134,-4.30429,4.30429,8.60858,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,9,1.6056,7.7942,0.178,-4.30429,4.30429,8.60858,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,9,2.0044,7.7942,0.223,-4.30429,4.30429,8.60858,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,9,2.4033,7.7942,0.267,-4.30429,4.30429,8.60858,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,9,2.8022,7.7942,0.311,-4.30429,4.30429,8.60858,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,9,3.2011,7.7942,0.356,-4.30429,4.30429,8.60858,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,9,3.6,7.7942,0.4,-4.30429,4.30429,8.60858,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,10,0.01,8.6603,0.001,-4.782545,4.782544,9.565089,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,10,0.4533,8.6603,0.045,-4.782545,4.782544,9.565089,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,10,0.8967,8.6603,0.09,-4.782545,4.782544,9.565089,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,10,1.34,8.6603,0.134,-4.782545,4.782544,9.565089,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,10,1.7833,8.6603,0.178,-4.782545,4.782544,9.565089,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,10,2.2267,8.6603,0.223,-4.782545,4.782544,9.565089,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.png,2,10,2.67,8.6603,0.267,-4.782545,4.782544,9.565089,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
