Unique_ID,Topology_Name,Angle_deg,f_TE_GHz,L_TE_nH,C_TE_fF,R_TE_ohm,f_TM_GHz,L_TM_nH,C_TM_fF,R_TM_ohm
ID1067_12_R7.0_W0.2744_Ang60,ID1067_12_R7.0_W0.2744.csv,60,14.6387,12.8561,9.19,3.077,13.7431,12.7423,10.525,2.3355
ID1067_12_R7.0_W0.2744_Ang80,ID1067_12_R7.0_W0.2744.csv,80,14.5799,14.8061,8.05,3.333,13.4143,14.9768,9.3991,2.4136
ID1068_12_R7.0_W0.3122_Ang0,ID1068_12_R7.0_W0.3122.csv,0,15.1772,7.0191,15.67,1.938,15.1575,6.9818,15.7912,1.8515
ID1068_12_R7.0_W0.3122_Ang20,ID1068_12_R7.0_W0.3122.csv,20,15.0898,7.7357,14.38,2.109,15.0606,7.4969,14.896,1.9904
ID1068_12_R7.0_W0.3122_Ang40,ID1068_12_R7.0_W0.3122.csv,40,14.8595,10.0652,11.4,2.05,14.5132,9.6652,12.4423,1.8447
ID1068_12_R7.0_W0.3122_Ang60,ID1068_12_R7.0_W0.3122.csv,60,14.7702,12.265,9.47,2.692,13.8863,12.6041,10.4222,2.1368
ID1068_12_R7.0_W0.3122_Ang80,ID1068_12_R7.0_W0.3122.csv,80,14.7506,14.2703,8.16,2.929,13.5083,14.9462,9.2877,2.1718
ID1069_12_R7.0_W0.35_Ang0,ID1069_12_R7.0_W0.35.csv,0,15.4018,6.6398,16.08,1.697,15.4016,6.6368,16.0898,1.6673
ID1069_12_R7.0_W0.35_Ang20,ID1069_12_R7.0_W0.35.csv,20,15.3181,7.3598,14.67,1.808,15.2537,7.1664,15.191,1.7476
ID1069_12_R7.0_W0.35_Ang40,ID1069_12_R7.0_W0.35.csv,40,15.051,9.7896,11.42,1.766,14.6249,9.4771,12.4962,1.5492
ID1069_12_R7.0_W0.35_Ang60,ID1069_12_R7.0_W0.35.csv,60,14.9737,11.7954,9.58,2.461,13.9828,12.47,10.3892,1.9176
ID1069_12_R7.0_W0.35_Ang80,ID1069_12_R7.0_W0.35.csv,80,14.9045,13.7485,8.29,2.729,13.5994,14.8701,9.2105,1.9941
ID1070_12_R8.0_W0.01_Ang0,ID1070_12_R8.0_W0.01.csv,0,10.8369,16.4403,13.12,12.364,10.8846,16.3562,13.0717,12.2638
ID1070_12_R8.0_W0.01_Ang20,ID1070_12_R8.0_W0.01.csv,20,10.6059,19.9949,11.26,12.869,10.706,19.2256,11.495,12.6342
ID1070_12_R8.0_W0.01_Ang40,ID1070_12_R8.0_W0.01.csv,40,10.6401,23.129,9.67,14.76,10.518,21.1679,10.8168,12.9871
ID1070_12_R8.0_W0.01_Ang60,ID1070_12_R8.0_W0.01.csv,60,10.6573,27.1752,8.21,17.104,10.361,23.5084,10.0373,13.6168
ID1070_12_R8.0_W0.01_Ang80,ID1070_12_R8.0_W0.01.csv,80,10.6559,30.1253,7.41,19.047,10.2562,25.1462,9.5763,13.9892
ID1071_12_R8.0_W0.0533_Ang0,ID1071_12_R8.0_W0.0533.csv,0,11.4531,13.8514,13.94,5.87,11.5455,13.7788,13.7912,5.9252
ID1071_12_R8.0_W0.0533_Ang20,ID1071_12_R8.0_W0.0533.csv,20,11.3267,15.3309,12.88,6.247,11.4439,14.735,13.1262,6.1276
ID1071_12_R8.0_W0.0533_Ang40,ID1071_12_R8.0_W0.0533.csv,40,11.4318,17.4704,11.09,6.988,11.2818,16.1156,12.3492,6.2026
ID1071_12_R8.0_W0.0533_Ang60,ID1071_12_R8.0_W0.0533.csv,60,11.4408,21.113,9.17,8.163,11.03,18.7993,11.075,6.5145
ID1071_12_R8.0_W0.0533_Ang80,ID1071_12_R8.0_W0.0533.csv,80,11.4914,24.4669,7.84,8.966,10.7452,21.1591,10.3685,6.4059
ID1072_12_R8.0_W0.0967_Ang0,ID1072_12_R8.0_W0.0967.csv,0,11.8942,12.2874,14.57,4.12,11.9251,12.2253,14.5698,4.1568
ID1072_12_R8.0_W0.0967_Ang20,ID1072_12_R8.0_W0.0967.csv,20,11.8422,13.7921,13.1,4.426,11.7463,13.3976,13.7028,4.1707
ID1072_12_R8.0_W0.0967_Ang40,ID1072_12_R8.0_W0.0967.csv,40,11.8377,15.7884,11.45,5.128,11.632,14.6386,12.7889,4.5142
ID1072_12_R8.0_W0.0967_Ang60,ID1072_12_R8.0_W0.0967.csv,60,11.85,19.248,9.37,6.033,11.3235,17.4964,11.291,4.7261
ID1072_12_R8.0_W0.0967_Ang80,ID1072_12_R8.0_W0.0967.csv,80,11.8884,22.1946,8.07,6.87,11.0814,19.9093,10.3608,4.8674
ID1073_12_R8.0_W0.14_Ang0,ID1073_12_R8.0_W0.14.csv,0,12.1879,11.2275,15.19,3.473,12.2319,11.1735,15.1516,3.4854
ID1073_12_R8.0_W0.14_Ang20,ID1073_12_R8.0_W0.14.csv,20,12.163,12.8419,13.33,3.326,12.0359,12.5128,13.9744,3.1405
ID1073_12_R8.0_W0.14_Ang40,ID1073_12_R8.0_W0.14.csv,40,12.1375,14.7041,11.69,4.296,11.8894,13.7135,13.0669,3.728
ID1073_12_R8.0_W0.14_Ang60,ID1073_12_R8.0_W0.14.csv,60,12.112,18.0066,9.59,4.917,11.5477,16.7829,11.3184,3.819
ID1073_12_R8.0_W0.14_Ang80,ID1073_12_R8.0_W0.14.csv,80,12.1808,20.8165,8.2,5.518,11.279,19.0953,10.4273,4.0644
ID1074_12_R8.0_W0.1833_Ang0,ID1074_12_R8.0_W0.1833.csv,0,12.4526,10.385,15.73,2.772,12.5078,10.3405,15.6579,2.8098
ID1074_12_R8.0_W0.1833_Ang20,ID1074_12_R8.0_W0.1833.csv,20,12.5188,11.2053,14.42,3.075,12.3641,10.9211,15.1722,2.9363
ID1074_12_R8.0_W0.1833_Ang40,ID1074_12_R8.0_W0.1833.csv,40,12.3954,13.7303,12.01,3.458,12.1341,12.9236,13.312,3.1217
ID1074_12_R8.0_W0.1833_Ang60,ID1074_12_R8.0_W0.1833.csv,60,12.3608,16.9212,9.8,4.115,11.7216,16.1718,11.4,3.2869
ID1074_12_R8.0_W0.1833_Ang80,ID1074_12_R8.0_W0.1833.csv,80,12.4089,19.6765,8.36,4.606,11.4537,18.7492,10.2983,3.3635
ID1075_12_R8.0_W0.2267_Ang0,ID1075_12_R8.0_W0.2267.csv,0,12.7405,9.5876,16.28,2.541,12.716,9.5687,16.3716,2.4758
ID1075_12_R8.0_W0.2267_Ang20,ID1075_12_R8.0_W0.2267.csv,20,12.7722,10.4162,14.91,2.858,12.5987,10.1959,15.6517,2.586
ID1075_12_R8.0_W0.2267_Ang40,ID1075_12_R8.0_W0.2267.csv,40,12.6605,12.8793,12.27,3.201,12.2758,12.2197,13.7556,2.718
ID1075_12_R8.0_W0.2267_Ang60,ID1075_12_R8.0_W0.2267.csv,60,12.605,16.0392,9.94,3.82,11.8424,15.6625,11.5319,2.8863
ID1075_12_R8.0_W0.2267_Ang80,ID1075_12_R8.0_W0.2267.csv,80,12.6244,18.632,8.53,4.216,11.5448,18.2804,10.3964,2.9732
ID1076_12_R8.0_W0.27_Ang0,ID1076_12_R8.0_W0.27.csv,0,12.9568,8.9878,16.79,2.216,12.9063,8.9393,17.0113,2.1551
ID1076_12_R8.0_W0.27_Ang20,ID1076_12_R8.0_W0.27.csv,20,12.9554,9.7879,15.42,2.575,12.8339,9.5777,16.0569,2.3585
ID1076_12_R8.0_W0.27_Ang40,ID1076_12_R8.0_W0.27.csv,40,12.8321,12.1306,12.68,2.818,12.4609,11.7427,13.8921,2.4561
ID1076_12_R8.0_W0.27_Ang60,ID1076_12_R8.0_W0.27.csv,60,12.7754,15.2027,10.21,3.413,11.9806,15.3921,11.4653,2.638
ID1076_12_R8.0_W0.27_Ang80,ID1076_12_R8.0_W0.27.csv,80,12.7955,17.777,8.7,3.989,11.6531,18.0093,10.3576,2.6536
ID1077_12_R8.0_W0.3133_Ang0,ID1077_12_R8.0_W0.3133.csv,0,13.1633,8.4045,17.39,2.133,13.1368,8.3955,17.483,2.1275
ID1077_12_R8.0_W0.3133_Ang20,ID1077_12_R8.0_W0.3133.csv,20,13.2002,9.2207,15.77,2.339,13.0288,9.0329,16.5197,2.1093
ID1077_12_R8.0_W0.3133_Ang40,ID1077_12_R8.0_W0.3133.csv,40,13.0224,11.5484,12.93,2.642,12.6048,11.3019,14.1064,2.2405
ID1077_12_R8.0_W0.3133_Ang60,ID1077_12_R8.0_W0.3133.csv,60,12.9666,14.5942,10.32,3.161,12.0903,15.0955,11.4793,2.4088
ID1077_12_R8.0_W0.3133_Ang80,ID1077_12_R8.0_W0.3133.csv,80,12.9653,16.9666,8.88,3.409,11.7549,17.927,10.2256,2.3326
