Angle,Frequency_GHz,S11_TE_Re,S11_TE_Im,S11_TM_Re,S11_TM_Im,S21_TE_Re,S21_TE_Im,S21_TM_Re,S21_TM_Im
20.0,3.28,-0.020419818104688393,-0.1409198906517379,-0.017081873645012038,-0.12907312734582846,0.9793521980783961,-0.14350133646695787,0.9826838468644875,-0.13181364168632168
20.0,3.3,-0.02069334038824281,-0.1418409852708094,-0.01731184582813476,-0.12992418437168002,0.9790757446671077,-0.1444377842707839,0.9824508756635003,-0.13268100754457507
20.0,3.32,-0.020969137068470558,-0.14276319416985714,-0.017543765404505942,-0.13077642760998337,0.9787969939531759,-0.14537535095773393,0.982215938194604,-0.13354955484303346
20.0,3.34,-0.021247228852972016,-0.1436865587410132,-0.017777641948423847,-0.13162988243521193,0.9785159329382894,-0.14631404693396113,0.9819790230255703,-0.13441929023727725
20.0,3.36,-0.02152761959681068,-0.14461105692605394,-0.018013488085329394,-0.13248454429597464,0.9782325492653501,-0.1472538756599446,0.9817401185593357,-0.13529022380585462
20.0,3.38,-0.02181032572934857,-0.14553669941953837,-0.018251312017142914,-0.1333404099736777,0.9779468295204354,-0.14819484736426378,0.9814992135286547,-0.13616236038800966
20.0,3.4,-0.022095361502205965,-0.14646351573427138,-0.018491128661833205,-0.13419750756318768,0.9776587615075047,-0.14913696541687677,0.9812562960362281,-0.1370357099269454
20.0,3.42,-0.022382738983323863,-0.14739148535519603,-0.018732949027194776,-0.1350558355788391,0.9773683310234011,-0.1500802415540996,0.9810113538020584,-0.13791028226355356
20.0,3.44,-0.022672473036390032,-0.14832064013387505,-0.01897678430907344,-0.13591539327040097,0.9770755258421482,-0.15102467727762278,0.9807643754551328,-0.1387860820791287
20.0,3.46,-0.02296457361740881,-0.14925096165031748,-0.019222647935174753,-0.13677621245944338,0.9767803319465613,-0.1519702824844778,0.9805153487728862,-0.13966311737871034
20.0,3.48,-0.02325905618281443,-0.15018248414326174,-0.019470551778695333,-0.13763827830992612,0.9764827362553885,-0.15291706366244678,0.9802642614759506,-0.14054139785490857
20.0,3.5,-0.02355593376428187,-0.15111519053253178,-0.019720505152273922,-0.13850160925261734,0.9761827240354035,-0.15386502872483554,0.9800111007900835,-0.1414209330782044
20.0,3.52,-0.023855219743159527,-0.15204909995614257,-0.019972527302599522,-0.13936622352106875,0.9758802830764882,-0.15481418242587994,0.9797558549814422,-0.14230172747920633
20.0,3.54,-0.024156930374744645,-0.15298421437937854,-0.020226623482219326,-0.14023210960634078,0.9755753986215372,-0.15576453080208844,0.9794985112032205,-0.14318379051487218
20.0,3.56,-0.024461076855671986,-0.15392053743989692,-0.020482806210270377,-0.14109927194445526,0.9752680573060323,-0.15671608528427386,0.9792390564528612,-0.14406713156577672
20.0,3.58,-0.02476767342357529,-0.15485809147177984,-0.020741095485173045,-0.14196774808370669,0.9749582439940223,-0.157668846477753,0.9789774781909134,-0.14495175653459455
20.0,3.6,-0.02507673992425446,-0.15579688086655016,-0.02100149967228832,-0.14283751173424028,0.974645943844967,-0.15862282718880574,0.9787137634510567,-0.1458376746997796
20.0,3.62,-0.025388282738211827,-0.15673689456079032,-0.021264031910543775,-0.1437086035259594,0.9743311436292331,-0.15957802994180412,0.9784478991421913,-0.14672489352037318
20.0,3.64,-0.025702316708191723,-0.15767813922487775,-0.021528705837058848,-0.1445810146696242,0.9740138289763519,-0.16053446399497184,0.9781798718792605,-0.14761342210185643
20.0,3.66,-0.02601886571597096,-0.15862065847226667,-0.021795532738274694,-0.14545473714816826,0.9736939851937492,-0.16149213324703615,0.977909668381327,-0.14850326776274947
20.0,3.68,-0.02633793355778846,-0.15956440671000177,-0.022064529097667682,-0.14632981428510308,0.9733715964297054,-0.16245104831863294,0.977637275070608,-0.14939443946583558
20.0,3.7,-0.02665954503273044,-0.1605094483604997,-0.022335709269376256,-0.14720623943045574,0.973046647921668,-0.16341121295426475,0.9773626784768227,-0.1502869443864195
20.0,3.72,-0.026983707045130926,-0.1614557385157008,-0.022609082640428275,-0.14808400713172024,0.9727191240217112,-0.16437263591715376,0.9770858648688364,-0.1511807896017157
20.0,3.74,-0.027310441768297375,-0.1624033061720448,-0.022884666549796505,-0.14896314628798277,0.9723890107338411,-0.16533532268484444,0.9768068201740364,-0.1520759855691401
20.0,3.76,-0.027639757317472834,-0.1633521647673526,-0.023162470739389537,-0.14984363529166864,0.9720562915009157,-0.16629927997531013,0.9765255300888318,-0.1529725409032726
20.0,3.78,-0.027971675913202883,-0.1643023068749933,-0.023442515771266666,-0.15072552198368763,0.9717209519670874,-0.16726451480677873,0.9762419817044432,-0.15387046088448694
20.0,3.8,-0.028306208984371743,-0.1652537469740394,-0.023724811827010393,-0.15160878605325134,0.9713829755007006,-0.16823103373360535,0.9759561589576455,-0.1547697537287022
20.0,3.82,-0.028643370661688046,-0.16620648037815955,-0.024009374751417085,-0.15249346032433583,0.9710423465521878,-0.1691988434190278,0.9756680485070361,-0.15567042976330536
20.0,3.84,-0.028983184848013724,-0.1671605408751531,-0.02429621771903072,-0.1533795250907041,0.9706990481201547,-0.1701679519425813,0.9753776349894455,-0.15657249718620908
20.0,3.86,-0.02932566001624953,-0.16811590656167283,-0.02458535697326385,-0.15426699663131493,0.9703530642780644,-0.17113836749145328,0.9750849055216242,-0.15747596278271606
20.0,3.88,-0.029670814389217277,-0.16907259403079877,-0.024876806357378056,-0.15515589253544387,0.9700043788400382,-0.17211009289026802,0.9747898424183593,-0.15838083424662672
20.0,3.9,-0.03001865467446685,-0.17003062291662177,-0.025170579792177336,-0.15604621289011414,0.9696529802479789,-0.1730831177401067,0.974492432166873,-0.15928712162344782
20.0,3.92,-0.03036922595832977,-0.1709899867957859,-0.025466694314252667,-0.15693797632798318,0.9692988430923535,-0.1740574832297383,0.9741926603634175,-0.16019483300542228
20.0,3.94,-0.03072253819096317,-0.17195068594858737,-0.025765164318803574,-0.15783118420373557,0.9689419554160255,-0.17503318047020405,0.9738905106017215,-0.16110397434295023
20.0,3.96,-0.03107857781722265,-0.1729127460113618,-0.026066004393848645,-0.1587258383588927,0.9685822988678425,-0.17601021681121265,0.9735859669988403,-0.1620145550935436
20.0,3.98,-0.03143738799827346,-0.17387616286969435,-0.026369232359855225,-0.1596219595030999,0.9682198592607413,-0.1769885828103482,0.9732790150306954,-0.16292658312516523
20.0,4.0,-0.03179898220671351,-0.17484093826224756,-0.026674863307363593,-0.16051955077392357,0.9678546131165299,-0.17796831963407492,0.9729696376058994,-0.1638400675540617
20.0,4.02,-0.032163347092940955,-0.1758071003390616,-0.026982912532814825,-0.1614186158090747,0.9674865503861064,-0.17894940096651163,0.9726578201157854,-0.1647550160945259
20.0,4.04,-0.03253055403273059,-0.17677462077713682,-0.027293395542462504,-0.1623191587504492,0.9671156472399784,-0.17993185026265934,0.9723435465022222,-0.16567143789353048
20.0,4.06,-0.032900590261620406,-0.17774352901462384,-0.02760632838587917,-0.16322120352149508,0.9667418927378272,-0.1809156583470235,0.9720267990046677,-0.16658933824086944
20.0,4.08,-0.03327350123485037,-0.17871382357498838,-0.027921729927007102,-0.164124755125741,0.9663652629375857,-0.18190084846418783,0.9717075623117692,-0.16750872800759065
20.0,4.1,-0.03364923918104043,-0.17968552091448486,-0.028239613555731166,-0.16502982004770542,0.9659857392097054,-0.1828874272839985,0.9713858194099609,-0.16842961420646618
20.0,4.12,-0.03402788127764817,-0.18065861483996695,-0.028559998618580246,-0.16593640431845294,0.9656033094307076,-0.18387538515683607,0.971061553774943,-0.1693520073506484
20.0,4.14,-0.03440944680798616,-0.18163313213635443,-0.02888289851990015,-0.16684449576721122,0.9652179494936096,-0.18486474499971936,0.9707347489017322,-0.170275910895156
20.0,4.16,-0.034793915542603485,-0.18260906465008173,-0.029208333910557518,-0.1677541407832279,0.9648296438973215,-0.1858554963399419,0.9704053887805384,-0.17120133179869257
20.0,4.18,-0.035181366767036655,-0.18358640735525994,-0.02953631866073284,-0.16866532837914874,0.9644383728709333,-0.18684766272409425,0.9700734533266674,-0.1721282867006092
20.0,4.2,-0.03557175248347932,-0.18456518011317055,-0.029866876092568967,-0.16957806616609877,0.9640441142623115,-0.18784124966951313,0.9697389241015538,-0.1730567889497717
20.0,4.22,-0.035965088301595095,-0.18554539137674847,-0.030200029904721867,-0.17049236224941186,0.9636468547306785,-0.18883624684322964,0.9694017876673695,-0.17398683000377368
20.0,4.24,-0.0363614551515646,-0.18652703751352423,-0.03053575930276465,-0.17140823322577908,0.9632465710109459,-0.18983267681192698,0.9690620264377646,-0.17491841796997926
